start_stop_id,end_stop_id,distance
BT01,BT02,1.3487946268033535
BT01,BT03,2.2617319586218145
BT01,BT06,4.786027983623583
BT02,BT01,1.3487946268033533
BT02,BT03,0.9140332362197978
BT02,BT04,1.4913432233154422
BT02,BT06,3.463606191405264
BT03,BT02,0.9140332362197977
BT03,BT04,0.8131884117027338
BT04,BT01,2.774263222821852
BT04,BT02,1.4913432233154422
BT04,BT05,1.589263231573961
BT04,BT06,2.0232108549200403
BT04,BT07,3.200573835232762
BT05,BT06,1.091282026742783
BT05,BT07,1.7382329657418492
BT06,BT02,3.463606191405264
BT06,BT03,2.60327554779162
BT06,BT04,2.0232108549200403
BT06,BT05,1.091282026742783
BT06,BT07,1.369535376459733
BT07,BT01,5.8468950780178846
BT07,BT04,3.200573835232762
BT07,BT06,1.369535376459733
